File Version,BWRam4.10_4
Date,2025-03-25 16:20:43
title,BWS465-785S
model,BTC665N-785S-SYS
c code,SMH
operator,
pixel_start,0
pixel_end,2047
units,3
show_mode,3
data_mode,0
pixel_mode,0
integration times(sec),5
integration times unit,2
time_multiply,1
average number,2
spectrometer_type,72
yaxis,0
yaxis_min,10000
yaxis_max,40000
xaxis,0
xaxis_min,0
xaxis_max,2047
pixel_num,2048
coefs_a0,782.269778738713
coefs_a1,0.15231769418122
coefs_a2,-4.40551035385953E-06
coefs_a3,-6.89461841283763E-10
coefs_b0,-6082.7057387519
coefs_b1,10.9055655951747
coefs_b2,-0.00647983654806097
coefs_b3,3.16822715335838E-06
coefs_r0,1
coefs_r1,0
coefs_r2,0
coefs_r3,0
coefs_j0,1
coefs_j1,0
coefs_j2,0
coefs_j3,0
enable_coefs_r,0
laser_wavelength,785
laser_powerlevel,30
probe_index,0
probe_name,Probe1
dark_compensate,0
numcoeff_d,7
coefs_d0,0
coefs_d1,1
coefs_d2,0
coefs_d3,0
coefs_d4,0
coefs_d5,0
coefs_d6,0
coefs_d7,0
irradiance_lamp_inttime,1
irradiance_lamp_unitindex,0
Color_Data_Flag,0
Color_StartWL,783
Color_EndWL,783
Color_IncWL,10
power_unit_index,1
photometric_index,0
Illuminant_index,2
observer_index,0
lab_l,0
lab_a,0
lab_b,0
radiometric_flag,0
Data Pretreat_0,
Data Pretreat_1,
Data Pretreat_2,
Data Pretreat_3,
Data Pretreat_4,
Data Pretreat_5,
Data Pretreat_6,
Data Pretreat_7,
Data Pretreat_8,
Data Pretreat_9,
Data Pretreat_10,
Data Pretreat_11,
Data Pretreat_12,
Data Pretreat_13,
Data Pretreat_14,
Data Pretreat_15,
Data Pretreat_16,
Data Pretreat_17,
Data Pretreat_18,
Data Pretreat_19,
Data Pretreat_20,
Data Pretreat_21,
Data Pretreat_22,
Data Pretreat_23,
Data Pretreat_24,
Data Pretreat_25,
Data Pretreat_26,
Data Pretreat_27,
Data Pretreat_28,
Data Pretreat_29,
Pixel,Wavelength,Wavenumber,Raman Shift,Dark,Reference,Raw data #1,Dark Subtracted #1,%TR #1,Absorbance #1,Irradiance (W/cm^2/nm) #1,RelativeIntensityCorrection_Ratio #1,ReferenceMaterialCorrection_Ratio #1,AbsoluteIrradianceCorrection_Ratio #1,
0,782.27,12783.31,-44.46,747.0000,65535.0000,853.0000,106.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
1,782.42,12780.83,-41.97,726.5000,65535.0000,852.5000,126.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
2,782.57,12778.34,-39.48,743.0000,65535.0000,843.5000,100.5000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
3,782.73,12775.85,-37.00,1299.5000,65535.0000,1400.0000,100.5000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
4,782.88,12773.37,-34.51,757.0000,65535.0000,898.0000,141.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
5,783.03,12770.88,-32.03,742.0000,65535.0000,843.5000,101.5000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
6,783.18,12768.40,-29.55,748.0000,65535.0000,848.5000,100.5000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
7,783.34,12765.92,-27.06,769.5000,65535.0000,932.0000,162.5000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
8,783.49,12763.44,-24.58,721.0000,65535.0000,903.5000,182.5000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
9,783.64,12760.96,-22.10,829.0000,65535.0000,1039.0000,210.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
10,783.79,12758.48,-19.63,764.5000,65535.0000,998.0000,233.5000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
11,783.94,12756.00,-17.15,771.0000,65535.0000,1455.0000,684.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
12,784.10,12753.52,-14.67,771.5000,65535.0000,3480.5000,2709.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
13,784.25,12751.05,-12.20,756.5000,65535.0000,5681.5000,4925.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
14,784.40,12748.58,-9.72,745.0000,65535.0000,7577.5000,6832.5000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
15,784.55,12746.10,-7.25,739.0000,65535.0000,10578.0000,9839.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
