File Version,BWRam4.10_4
Date,2025-03-24 15:07:59
title,BWS465-785S
model,BTC665N-785S-SYS
c code,SMH
operator,
pixel_start,0
pixel_end,2047
units,3
show_mode,3
data_mode,0
pixel_mode,0
integration times(sec),5
integration times unit,2
time_multiply,1
average number,2
spectrometer_type,72
yaxis,0
yaxis_min,10000
yaxis_max,40000
xaxis,1
xaxis_min,227
xaxis_max,1013
pixel_num,2048
coefs_a0,782.269778738713
coefs_a1,0.15231769418122
coefs_a2,-4.40551035385953E-06
coefs_a3,-6.89461841283763E-10
coefs_b0,-6082.7057387519
coefs_b1,10.9055655951747
coefs_b2,-0.00647983654806097
coefs_b3,3.16822715335838E-06
coefs_r0,1
coefs_r1,0
coefs_r2,0
coefs_r3,0
coefs_j0,1
coefs_j1,0
coefs_j2,0
coefs_j3,0
enable_coefs_r,0
laser_wavelength,785
laser_powerlevel,30
probe_index,0
probe_name,Probe1
dark_compensate,0
numcoeff_d,7
coefs_d0,0
coefs_d1,1
coefs_d2,0
coefs_d3,0
coefs_d4,0
coefs_d5,0
coefs_d6,0
coefs_d7,0
irradiance_lamp_inttime,1
irradiance_lamp_unitindex,0
Color_Data_Flag,0
Color_StartWL,783
Color_EndWL,783
Color_IncWL,10
power_unit_index,1
photometric_index,0
Illuminant_index,2
observer_index,0
lab_l,0
lab_a,0
lab_b,0
radiometric_flag,0
Data Pretreat_0,
Data Pretreat_1,
Data Pretreat_2,
Data Pretreat_3,
Data Pretreat_4,
Data Pretreat_5,
Data Pretreat_6,
Data Pretreat_7,
Data Pretreat_8,
Data Pretreat_9,
Data Pretreat_10,
Data Pretreat_11,
Data Pretreat_12,
Data Pretreat_13,
Data Pretreat_14,
Data Pretreat_15,
Data Pretreat_16,
Data Pretreat_17,
Data Pretreat_18,
Data Pretreat_19,
Data Pretreat_20,
Data Pretreat_21,
Data Pretreat_22,
Data Pretreat_23,
Data Pretreat_24,
Data Pretreat_25,
Data Pretreat_26,
Data Pretreat_27,
Data Pretreat_28,
Data Pretreat_29,
Pixel,Wavelength,Wavenumber,Raman Shift,Dark,Reference,Raw data #1,Dark Subtracted #1,%TR #1,Absorbance #1,Irradiance (W/cm^2/nm) #1,RelativeIntensityCorrection_Ratio #1,ReferenceMaterialCorrection_Ratio #1,AbsoluteIrradianceCorrection_Ratio #1,
0,   ,   ,   ,806.5000,65535.0000,1085.5000,279.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
1,   ,   ,   ,793.5000,65535.0000,1055.0000,261.5000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
2,   ,   ,   ,782.5000,65535.0000,1050.0000,267.5000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
3,   ,   ,   ,1335.0000,65535.0000,1598.0000,263.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
4,   ,   ,   ,843.5000,65535.0000,1123.5000,280.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
5,   ,   ,   ,795.0000,65535.0000,1096.0000,301.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
6,   ,   ,   ,788.0000,65535.0000,1085.0000,297.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
7,   ,   ,   ,813.5000,65535.0000,1125.0000,311.5000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
8,   ,   ,   ,774.0000,65535.0000,1139.0000,365.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
9,   ,   ,   ,845.0000,65535.0000,1241.0000,396.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
10,   ,   ,   ,791.5000,65535.0000,1238.5000,447.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
11,   ,   ,   ,839.0000,65535.0000,2041.0000,1202.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
12,   ,   ,   ,802.0000,65535.0000,4424.5000,3622.5000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
13,   ,   ,   ,780.5000,65535.0000,6052.5000,5272.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
14,   ,   ,   ,797.5000,65535.0000,8097.0000,7299.5000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
15,   ,   ,   ,795.0000,65535.0000,10939.0000,10144.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
16,   ,   ,   ,829.5000,65535.0000,7649.0000,6819.5000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
17,   ,   ,   ,807.5000,65535.0000,3322.0000,2514.5000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
18,   ,   ,   ,803.5000,65535.0000,1419.5000,616.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
19,   ,   ,   ,814.5000,65535.0000,1276.0000,461.5000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
20,   ,   ,   ,792.5000,65535.0000,1233.5000,441.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
21,   ,   ,   ,815.5000,65535.0000,1239.5000,424.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
22,   ,   ,   ,837.0000,65535.0000,1264.0000,427.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
23,   ,   ,   ,778.5000,65535.0000,1270.5000,492.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
24,   ,   ,   ,808.5000,65535.0000,1248.5000,440.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
25,   ,   ,   ,808.0000,65535.0000,1233.5000,425.5000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
26,   ,   ,   ,780.0000,65535.0000,1232.5000,452.5000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
27,   ,   ,   ,822.0000,65535.0000,1290.0000,468.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
28,   ,   ,   ,804.5000,65535.0000,1251.5000,447.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
29,   ,   ,   ,808.5000,65535.0000,1254.5000,446.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
30,   ,   ,   ,795.5000,65535.0000,1281.0000,485.5000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
31,   ,   ,   ,813.0000,65535.0000,1283.5000,470.5000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
32,   ,   ,   ,834.5000,65535.0000,1321.0000,486.5000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
33,   ,   ,   ,829.5000,65535.0000,1351.0000,521.5000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
34,   ,   ,   ,791.0000,65535.0000,1339.0000,548.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
35,   ,   ,   ,831.5000,65535.0000,1372.5000,541.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
36,   ,   ,   ,819.0000,65535.0000,1353.0000,534.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
37,   ,   ,   ,839.5000,65535.0000,1422.0000,582.5000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
38,   ,   ,   ,837.5000,65535.0000,1476.0000,638.5000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
39,   ,   ,   ,838.0000,65535.0000,1479.5000,641.5000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
40,   ,   ,   ,813.0000,65535.0000,1495.5000,682.5000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
